pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,25.337536869978067,26.323232341965195,26.323232341965195,26.323232341965195,26.323232341965195,26.34042452397989,27.326011478959117,27.326011478959117,x,1,0.7863743400084786,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,0,1,1,1,,,,,28.17840695695486,29.16439678100869,29.16439678100869,29.16439678100869,29.16439678100869,29.18109273700975,30.166880131000653,30.166880131000653,v,1,0.2926686890423298,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,0,2,2,2,,,,,30.48455226799706,31.470638844999485,31.470638844999485,31.470638844999485,31.470638844999485,31.48716192797292,32.47302270797081,32.47302270797081,c,1,0.41088346601463854,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,0,3,3,3,,,,,32.90759704296943,33.89363947499078,33.89363947499078,33.89363947499078,33.89363947499078,33.910373886988964,34.89654615498148,34.89654615498148,z,1,0.24591660808073357,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,1,0,4,0,,,,,35.16366958396975,36.14973577397177,36.14973577397177,36.14973577397177,36.14973577397177,36.16685200401116,37.152666729001794,37.152666729001794,x,1,0.6356422280659899,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,1,1,5,1,,,,,37.82097764295759,38.80673938500695,38.80673938500695,38.80673938500695,38.80673938500695,38.82347202999517,39.80948709696531,39.80948709696531,v,1,0.3125638360506855,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,1,2,6,2,,,,,40.14330382499611,41.129314867954236,41.129314867954236,41.129314867954236,41.129314867954236,41.14627158199437,42.13210425397847,42.13210425397847,c,1,0.2054670270299539,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,1,3,7,3,,,,,42.36616579897236,43.35247427795548,43.35247427795548,43.35247427795548,43.35247427795548,43.368920572975185,44.35507879400393,44.35507879400393,z,1,0.23478473705472425,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,2,0,8,0,,,,,44.62244878895581,45.608452568994835,45.608452568994835,45.608452568994835,45.608452568994835,45.6249365999829,46.61149028100772,46.61149028100772,x,1,0.18962851900141686,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,2,1,9,1,,,,,46.828303432965185,47.81424313696334,47.81424313696334,47.81424313696334,47.81424313696334,47.831050833978225,48.81718555698171,48.81718555698171,v,1,0.21554243605351076,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
